code,families,row_count
Black,{Black},829
Blue,{Blue},568
Red,{Red},517
Yellow,{Yellow},506
Green,{Green},499
Grey,{Grey},499
White,{White/Cream},455
Maroon,{Maroon/Wine},389
Pink,{Pink},377
Navy Blue,{Blue},368
Orange,{Orange},324
Peach,{Peach},294
Wine,{Maroon/Wine},259
Sky Blue,{Blue},253
Brown,{Brown/Beige},238
Mustard,{Yellow},238
Firozi,{Blue},229
Golden,{Gold/Metallic},227
Magenta,{Pink},219
Off White,{White/Cream},218
Fawn,{Brown/Beige},184
Gazari,{Pink},182
Purple,{Purple},137
Lavender,{Purple},128
Sea Green,{Green},127
Pista Green,{Green},122
Cream,{White/Cream},115
Peacock Green,"{Green,Blue}",101
Lemon,{Yellow},89
Rust,{Orange},76
Pista,{Green},74
Multi Color,{Multi/Printed},72
Mehndi,{Green},65
Royal Blue,{Blue},65
Rama Green,{Green},64
Mehndi Green,{Green},51
Printed,{Multi/Printed},51
Beige,{Brown/Beige},46
Light Grey,{Grey},44
Parrot Green,{Green},44
Teal Grey,"{Grey,Blue}",42
Light Brown,{Brown/Beige},29
Coffee,{Brown/Beige},28
Light Green,{Green},28
Light Purple,{Purple},25
Dark Grey,{Grey},24
Mustard Yellow,{Yellow},22
Lemon Yellow,{Yellow},21
Bottle Green,{Green},18
Light Blue,{Blue},18
Teal Blue,{Blue},16
Skin,{Peach},14
Olive Green,{Green},13
Dark Blue,{Blue},12
Light Peach,{Peach},12
Red Black,"{Red,Black}",12
Dark Green,{Green},11
Lime Green,{Green},11
Dark Pink,{Pink},10
Golden Red,"{Gold/Metallic,Red}",10
White Black,"{White/Cream,Black}",10
White Blue,"{White/Cream,Blue}",10
Peacock Blue,"{Blue,Green}",9
Sage Green,{Green},9
Deep Peach,{Peach},8
Tussar,{Brown/Beige},8
White Grey,"{White/Cream,Grey}",8
Blueish Grey,{Grey},7
Khaki,{Brown/Beige},7
Light Sky Blue,{Blue},7
Mauve,{Purple},7
Pink Green,"{Pink,Green}",7
White Brown,"{White/Cream,Brown/Beige}",7
Black Mustard,"{Black,Yellow}",6
Dark Purple,{Purple},6
Dusty,{Yellow},6
Golden Maroon,"{Gold/Metallic,Maroon/Wine}",6
Hot Pink,{Pink},6
Light Pink,{Pink},6
Mehendi Green,{Green},6
Rama Green (Morni),{Green},6
Black Grey,"{Black,Grey}",5
Black Red,"{Black,Red}",5
Blue Grey,"{Blue,Grey}",5
Green Blue,"{Green,Blue}",5
Light Pista,{Green},5
Mouse Grey,{Grey},5
Peacock Green Off White,"{Green,White/Cream,Blue}",5
Red Blue,"{Red,Blue}",5
White Red,"{White/Cream,Red}",5
Baby Pink,{Pink},4
Black Line,{Black},4
Black Neck,{Black},4
Blue Mustard,"{Blue,Yellow}",4
Blue Red,"{Blue,Red}",4
Brown Black,"{Brown/Beige,Black}",4
Charcoal Grey,{Grey},4
Design Blue,{Blue},4
